chrom	start	end
chrX	7634249	7635066
chrX	152975030	152975766
chrX	99291765	99292035
chrX	143030533	143030787
chrX	7412304	7412796
chrX	13598601	13598812
chrX	94142854	94143777
chrX	164400236	164400774
chrX	164044526	164045431
chrX	99603977	99604083
chrX	99354663	99355235
chrX	52030109	52030434
chrX	92120928	92121115
chrX	7553174	7554032
chrX	134428994	134429556
chrX	169136893	169137047
chrX	12061576	12063468
chrX	8217149	8218171
chrX	166292001	166292308
chrX	131490858	131491542
chrX	36411811	36412327
chrX	11797418	11798118
chrX	169717857	169718105
chrX	102293506	102293915
chrX	93990780	93991038
chrX	12916642	12917291
chrX	143046248	143046644
chrX	94373743	94374193
chrX	139314234	139314752
chrX	57325570	57325937
chrX	136152840	136153235
chrX	157817181	157819454
chrX	48652237	48652546
chrX	39262290	39262621
chrX	20253510	20253628
chrX	11848958	11849152
chrX	166275235	166275528
chrX	142516155	142516601
chrX	133646710	133646791
chrX	103694489	103694939
chrX	99547285	99548601
chrX	73571458	73571868
chrX	52151778	52152388
chrX	51389178	51389567
chrX	41549097	41549221
chrX	36605470	36605569
chrX	17352437	17352957
chrX	10141277	10141805
chrX	169370312	169370358
chrX	167856780	167856916
chrX	162846145	162846315
chrX	162081846	162082907
chrX	161576164	161576516
chrX	159526199	159526422
chrX	159314988	159315721
chrX	158012926	158013125
chrX	152610577	152610985
chrX	152363926	152363997
chrX	152222942	152223488
chrX	144523527	144523625
chrX	143852454	143853000
chrX	143084265	143084548
chrX	140678908	140679173
chrX	136180967	136181289
chrX	135628655	135629186
chrX	135627299	135627652
chrX	113074975	113075392
chrX	105173839	105174390
chrX	104115113	104115406
chrX	101819009	101819140
chrX	100530005	100530276
chrX	99043077	99044482
chrX	99021704	99021819
chrX	98356535	98356728
chrX	96042303	96042460
chrX	94649904	94650214
chrX	93424588	93424641
chrX	76819876	76820266
chrX	75777091	75777129
chrX	73435439	73435562
chrX	72960279	72960462
chrX	68723190	68723520
chrX	57146758	57146936
chrX	53209477	53209790
chrX	52304863	52305819
chrX	52074063	52074632
chrX	51179319	51179415
chrX	49453719	49454040
chrX	42408425	42408583
chrX	42377356	42377586
chrX	41932401	41932464
chrX	38431932	38431997
chrX	38144057	38144204
chrX	37027979	37028659
chrX	36787210	36787405
chrX	22902674	22902734
chrX	20414964	20415292
chrX	14101775	14102055
chrX	13465622	13465801
chrX	12298593	12299355
chrX	12139037	12140685
chrX	12133216	12134086
chrX	12132491	12132578
chrX	11959947	11960325
chrX	11918583	11919445
chrX	11098912	11100434
chrX	7637181	7637253
chrX	7633653	7633721
chrX	6751776	6752141
chrX	53697943	53698099
chrX	52112106	52112239
chrX	6417142	6417392
chrX	139774843	139775709
chrX	99484046	99484571
chrX	99147217	99147796
chrX	18320992	18321081
chrX	13464179	13464323
chrX	12126784	12127541
chrX	12104238	12104446
chrX	12068825	12069326
chrX	168206963	168207559
chrX	166676436	166676728
chrX	163868567	163868979
chrX	152271065	152271444
chrX	137161317	137161496
chrX	118121129	118121512
chrX	99071163	99071650
chrX	72931898	72932075
chrX	48424995	48425586
chrX	48156734	48157426
chrX	41581309	41581808
chrX	12389872	12390318
chrX	12082031	12083451
chrX	12056393	12056499
chrX	12070201	12070481
chrX	99185045	99185408
chrX	143065692	143066246
chrX	77658094	77658146
chrX	22811906	22812127
chrX	142682517	142682734
chrX	169828742	169828953
chrX	169331743	169331882
chrX	169070099	169070241
chrX	166952646	166953178
chrX	166892172	166892297
chrX	166847111	166847312
chrX	166535219	166535665
chrX	166353635	166353912
chrX	166177928	166178266
chrX	165804174	165804449
chrX	165072169	165072478
chrX	164120957	164121646
chrX	164041942	164042609
chrX	162969684	162970094
chrX	161739041	161739088
chrX	161729312	161729682
chrX	161698191	161698468
chrX	161370921	161371171
chrX	160881331	160881497
chrX	160814795	160815438
chrX	160128484	160128696
chrX	159911753	159911873
chrX	159285561	159285673
chrX	158943773	158943972
chrX	158544053	158544295
chrX	158532673	158533041
chrX	157995821	157995858
chrX	157417155	157417746
chrX	157390178	157390418
chrX	157305909	157306190
chrX	156595129	156595459
chrX	153604302	153604412
chrX	152385378	152385796
chrX	152363201	152363316
chrX	152322338	152322762
chrX	152175842	152175942
chrX	151325692	151325911
chrX	151178471	151178573
chrX	150993669	150993810
chrX	150654979	150655060
chrX	150403326	150403409
chrX	147541604	147541642
chrX	147393751	147393872
chrX	146878031	146878108
chrX	146662418	146662523
chrX	145521365	145521436
chrX	144501625	144501775
chrX	143608055	143608500
chrX	143410567	143410991
chrX	142748368	142749266
chrX	142679189	142679406
chrX	142532806	142533004
chrX	142531878	142532332
chrX	142196506	142196707
chrX	140979802	140980164
chrX	140547627	140547915
chrX	140226973	140227560
chrX	140070913	140071544
chrX	139767841	139767937
chrX	139767234	139767283
chrX	139487865	139488082
chrX	138287775	138288016
chrX	137070063	137070371
chrX	136984485	136984555
chrX	136916382	136916639
chrX	136842185	136842894
chrX	136840169	136840294
chrX	136106663	136107105
chrX	135776172	135776400
chrX	134611348	134611695
chrX	134280272	134280316
chrX	134259394	134259496
chrX	134214161	134214305
chrX	133854575	133854682
chrX	131707507	131707546
chrX	130956552	130956633
chrX	128818186	128818449
chrX	113068009	113068275
chrX	106840201	106840337
chrX	105828299	105828616
chrX	104464429	104464837
chrX	103819083	103820472
chrX	103438678	103439186
chrX	103086733	103086948
chrX	102695253	102695538
chrX	101754611	101754982
chrX	101738330	101738611
chrX	101620538	101620671
chrX	101396030	101396431
chrX	101366096	101366426
chrX	100575549	100575674
chrX	100559508	100559576
chrX	100516939	100517025
chrX	100461592	100461794
chrX	100458300	100458402
chrX	99826459	99826605
chrX	99672810	99673220
chrX	99602222	99602489
chrX	99575288	99575683
chrX	99538290	99538365
chrX	99392670	99393029
chrX	99336740	99336898
chrX	99140672	99141472
chrX	99087460	99087492
chrX	99050460	99051038
chrX	95478615	95478957
chrX	95314627	95315058
chrX	94083671	94084464
chrX	94021815	94022470
chrX	93912222	93912449
chrX	93804479	93804691
chrX	93717680	93717834
chrX	93604797	93605058
chrX	93429006	93429577
chrX	92999529	92999634
chrX	89882617	89882848
chrX	87589205	87589265
chrX	85717616	85717955
chrX	85325287	85325344
chrX	77454899	77455187
chrX	77423075	77423107
chrX	76945332	76945566
chrX	75760505	75760803
chrX	75755756	75755910
chrX	74847766	74847843
chrX	74527758	74527859
chrX	74210419	74210635
chrX	74120132	74120371
chrX	73780596	73780704
chrX	73657308	73657560
chrX	73636417	73637180
chrX	73538092	73538160
chrX	73291578	73291674
chrX	72922780	72923103
chrX	72860729	72861284
chrX	71642914	71643016
chrX	70829356	70829591
chrX	69863451	69863698
chrX	69734244	69734380
chrX	62761172	62761253
chrX	61394902	61395025
chrX	61290268	61290417
chrX	57349982	57350024
chrX	57283906	57284012
chrX	56742629	56742969
chrX	56452703	56452919
chrX	56432138	56432163
chrX	56370256	56370425
chrX	53118605	53119065
chrX	52651570	52651648
chrX	52632325	52632541
chrX	52629362	52629895
chrX	52565346	52566041
chrX	52255553	52255849
chrX	52056435	52056724
chrX	51683162	51683302
chrX	51463581	51464066
chrX	50012246	50012463
chrX	49249157	49249248
chrX	48449962	48450163
chrX	48318229	48318456
chrX	48198125	48198388
chrX	48175158	48175487
