chrom	start	end
chrX	99141281	99141481
chrX	9662453	9662653
chrX	95444946	95445146
chrX	95164222	95164422
chrX	94636426	94636626
chrX	94366760	94366960
chrX	94234852	94235052
chrX	9272518	9272718
chrX	8206360	8206560
chrX	7947967	7948167
chrX	7822479	7822679
chrX	7762721	7762921
chrX	7638540	7638740
chrX	7574378	7574578
chrX	75130942	75131142
chrX	75095727	75095927
chrX	74328968	74329168
chrX	73880782	73880982
chrX	73411000	73411200
chrX	72012397	72012597
chrX	71365056	71365256
chrX	71364646	71364846
chrX	61119724	61119924
chrX	59126761	59126961
chrX	56374348	56374548
chrX	53670337	53670537
chrX	53269690	53269890
chrX	52988280	52988480
chrX	48208708	48208908
chrX	48175393	48175593
chrX	47912319	47912519
chrX	38635197	38635397
chrX	38564650	38564850
chrX	38189629	38189829
chrX	36864190	36864390
chrX	36796245	36796445
chrX	36195797	36195997
chrX	23692919	23693119
chrX	20946059	20946259
chrX	20920737	20920937
chrX	20663163	20663363
chrX	20291727	20291927
chrX	19237840	19238040
chrX	17572211	17572411
chrX	168123002	168123202
chrX	167382724	167382924
chrX	166216851	166217051
chrX	163958614	163958814
chrX	162760168	162760368
chrX	161716867	161717067
chrX	160994780	160994980
chrX	159414967	159415167
chrX	159257183	159257383
chrX	157391480	157391680
chrX	153139647	153139847
chrX	152342407	152342607
chrX	152001707	152001907
chrX	151520206	151520406
chrX	150657069	150657269
chrX	150588106	150588306
chrX	142390528	142390728
chrX	140743305	140743505
chrX	140406154	140406354
chrX	139684908	139685108
chrX	139392825	139393025
chrX	139217589	139217789
chrX	13655045	13655245
chrX	136291023	136291223
chrX	13621258	13621458
chrX	135839481	135839681
chrX	13461537	13461737
chrX	134307898	134308098
chrX	134162919	134163119
chrX	134059480	134059680
chrX	13345914	13346114
chrX	13041863	13042063
chrX	12673625	12673825
chrX	123103363	123103563
chrX	12066040	12066240
chrX	120289963	120290163
chrX	11999037	11999237
chrX	11806990	11807190
chrX	103356711	103356911
chrX	102644155	102644355
chrX	101419982	101420182
chrX	101332675	101332875
chrX	101314102	101314302
chr9	99500443	99500643
chr9	99243350	99243550
chr9	99140220	99140420
chr9	98986218	98986418
chr9	98033224	98033424
chr9	97110945	97111145
chr9	97018191	97018391
chr9	96823071	96823271
chr9	96690579	96690779
chr9	96537090	96537290
chr9	96515890	96516090
chr9	94724842	94725042
chr9	94681195	94681395
chr9	92731536	92731736
chr9	90270292	90270492
chr9	90162953	90163153
chr9	89909741	89909941
chr9	8901773	8901973
chr9	88482885	88483085
chr9	88327760	88327960
chr9	87021896	87022096
chr9	86695852	86696052
chr9	86571756	86571956
chr9	86219731	86219931
chr9	85328447	85328647
chr9	84124056	84124256
chr9	83596277	83596477
chr9	82975457	82975657
chr9	8133816	8134016
chr9	7956456	7956656
chr9	78983722	78983922
chr9	78124413	78124613
chr9	77849440	77849640
chr9	77754396	77754596
chr9	77544766	77544966
chr9	77251950	77252150
chr9	75559572	75559772
chr9	74953221	74953421
chr9	74863315	74863515
chr9	73094814	73095014
chr9	73044707	73044907
chr9	72985271	72985471
chr9	72766797	72766997
chr9	72675439	72675639
chr9	72662574	72662774
chr9	72661768	72661968
chr9	72531784	72531984
chr9	70788809	70789009
chr9	70542555	70542755
chr9	69989340	69989540
chr9	69289660	69289860
chr9	68653436	68653636
chr9	67840165	67840365
chr9	67633697	67633897
chr9	67276530	67276730
chr9	66974739	66974939
chr9	66834884	66835084
chr9	66716603	66716803
chr9	66597133	66597333
chr9	66593089	66593289
chr9	66592203	66592403
chr9	65909237	65909437
chr9	65827192	65827392
chr9	65676586	65676786
chr9	65461081	65461281
chr9	65346133	65346333
chr9	65196825	65197025
chr9	64811493	64811693
chr9	64501119	64501319
chr9	64281449	64281649
chr9	64253551	64253751
chr9	64252679	64252879
chr9	63702490	63702690
chr9	63132645	63132845
chr9	63124088	63124288
chr9	62981021	62981221
chr9	62980504	62980704
chr9	62812123	62812323
chr9	62811741	62811941
chr9	62763618	62763818
chr9	62678617	62678817
chr9	62343651	62343851
chr9	62221022	62221222
chr9	62122730	62122930
chr9	61830322	61830522
chr9	61754076	61754276
chr9	61374197	61374397
chr9	61373278	61373478
chr9	61013147	61013347
chr9	60713043	60713243
chr9	59751833	59752033
chr9	59750776	59750976
chr9	59750334	59750534
chr9	59680024	59680224
chr9	59539999	59540199
chr9	59388418	59388618
chr9	58582647	58582847
chr9	58582268	58582468
chr9	58539908	58540108
chr9	58467791	58467991
chr9	58242815	58243015
chr9	58202906	58203106
chr9	58116346	58116546
chr9	58102024	58102224
chr9	57967631	57967831
chr9	57866625	57866825
chr9	57765932	57766132
chr9	57708464	57708664
chr9	57560823	57561023
chr9	57520966	57521166
chr9	57077019	57077219
chr9	57076249	57076449
chr9	56937240	56937440
chr9	56891686	56891886
chr9	56795759	56795959
chr9	56712653	56712853
chr9	56681943	56682143
chr9	56604795	56604995
chr9	56123120	56123320
chr9	56041737	56041937
chr9	55110489	55110689
chr9	54734542	54734742
chr9	54586428	54586628
chr9	54560146	54560346
chr9	54501197	54501397
chr9	54215006	54215206
chr9	53975095	53975295
chr9	53706371	53706571
chr9	53667397	53667597
chr9	53536028	53536228
chr9	53398351	53398551
chr9	52407858	52408058
chr9	51765959	51766159
chr9	51239195	51239395
chr9	50659610	50659810
chr9	50604095	50604295
chr9	50528606	50528806
chr9	50375695	50375895
chr9	49990023	49990223
chr9	49594374	49594574
chr9	49229170	49229370
chr9	48678981	48679181
chr9	48480417	48480617
chr9	48222620	48222820
chr9	47527871	47528071
chr9	46788569	46788769
chr9	46738647	46738847
chr9	46434808	46435008
chr9	46230331	46230531
chr9	46215731	46215931
chr9	45432803	45433003
chr9	45408345	45408545
chr9	45122229	45122429
chr9	45055361	45055561
chr9	44881546	44881746
chr9	44829007	44829207
chr9	44724301	44724501
chr9	44418073	44418273
chr9	44334541	44334741
chr9	44320202	44320402
chr9	44232892	44233092
chr9	44091920	44092120
chr9	44084019	44084219
chr9	44049156	44049356
chr9	44043221	44043421
chr9	43879898	43880098
chr9	43743787	43743987
chr9	43719465	43719665
chr9	43681406	43681606
chr9	43593317	43593517
chr9	43545254	43545454
chr9	4309548	4309748
chr9	42897420	42897620
chr9	42646911	42647111
chr9	41982029	41982229
chr9	41950796	41950996
chr9	41191942	41192142
chr9	41118111	41118311
chr9	41054294	41054494
chr9	40800948	40801148
chr9	40522273	40522473
chr9	40455460	40455660
chr9	37625785	37625985
chr9	37613712	37613912
chr9	37613246	37613446
chr9	37552242	37552442
chr9	37460142	37460342
chr9	37430728	37430928
chr9	37002035	37002235
chr9	36905520	36905720
chr9	36900586	36900786
chr9	36767320	36767520
chr9	35558347	35558547
chr9	35424718	35424918
chr9	3532210	3532410
chr9	35211319	35211519
chr9	35175920	35176120
chr9	32791702	32791902
chr9	32672022	32672222
chr9	32344738	32344938
chr9	31913633	31913833
chr9	31225904	31226104
chr9	31211942	31212142
chr9	30141260	30141460
chr9	29884151	29884351
chr9	29643427	29643627
chr9	29472391	29472591
chr9	29367932	29368132
chr9	27511250	27511450
chr9	27307518	27307718
chr9	27201623	27201823
chr9	27030511	27030711
chr9	26999556	26999756
chr9	26632957	26633157
chr9	25401080	25401280
chr9	25151878	25152078
chr9	23268763	23268963
chr9	22484240	22484440
chr9	22165010	22165210
chr9	22117113	22117313
chr9	22085240	22085440
chr9	22050476	22050676
chr9	21962469	21962669
chr9	21961486	21961686
chr9	21955605	21955805
chr9	21953583	21953783
chr9	21947701	21947901
chr9	21749728	21749928
chr9	21737317	21737517
chr9	21723493	21723693
chr9	21594521	21594721
chr9	21473006	21473206
chr9	21368432	21368632
chr9	21322263	21322463
chr9	21097700	21097900
chr9	21091650	21091850
chr9	21032147	21032347
chr9	20666748	20666948
chr9	20663942	20664142
chr9	20544503	20544703
chr9	20521516	20521716
chr9	16114074	16114274
chr9	15507715	15507915
chr9	14907903	14908103
chr9	14276171	14276371
chr9	122695806	122696006
chr9	122638113	122638313
chr9	122611047	122611247
chr9	122595331	122595531
chr9	122572334	122572534
chr9	122455149	122455349
chr9	122294217	122294417
chr9	121967918	121968118
chr9	121880992	121881192
chr9	121759433	121759633
chr9	121642954	121643154
chr9	121642046	121642246
chr9	121443788	121443988
chr9	121435663	121435863
chr9	121388043	121388243
chr9	121373081	121373281
chr9	121277070	121277270
chr9	121075392	121075592
chr9	121000714	121000914
chr9	120691090	120691290
chr9	120539704	120539904
chr9	120322844	120323044
chr9	120304329	120304529
chr9	120174842	120175042
chr9	119895245	119895445
chr9	119894663	119894863
chr9	119519168	119519368
chr9	119357710	119357910
chr9	119341160	119341360
chr9	119093480	119093680
chr9	119088179	119088379
chr9	118964552	118964752
chr9	118926954	118927154
chr9	118925388	118925588
chr9	118908367	118908567
chr9	118488159	118488359
chr9	118150092	118150292
chr9	118147647	118147847
chr9	115310570	115310770
chr9	115067356	115067556
chr9	114978893	114979093
chr9	114977546	114977746
chr9	114752878	114753078
chr9	114731056	114731256
chr9	114688656	114688856
chr9	113714601	113714801
chr9	113509443	113509643
chr9	113488769	113488969
chr9	113263773	113263973
chr9	113177403	113177603
chr9	112187875	112188075
chr9	112132337	112132537
chr9	112102499	112102699
chr9	110953878	110954078
chr9	110132362	110132562
chr9	110051917	110052117
chr9	110044506	110044706
chr9	109931320	109931520
chr9	109832927	109833127
chr9	109095060	109095260
chr9	108826007	108826207
chr9	108809068	108809268
chr9	108784060	108784260
chr9	108569746	108569946
chr9	108517220	108517420
chr9	108403174	108403374
chr9	108347744	108347944
chr9	108263111	108263311
chr9	108187721	108187921
chr9	108137768	108137968
chr9	107986041	107986241
chr9	107982071	107982271
chr9	107935728	107935928
chr9	107776244	107776444
chr9	107633297	107633497
chr9	107626646	107626846
chr9	107533930	107534130
chr9	107340626	107340826
chr9	107295735	107295935
chr9	106891924	106892124
chr9	106886515	106886715
chr9	106821688	106821888
chr9	106685938	106686138
chr9	106676100	106676300
chr9	106429608	106429808
chr9	106369159	106369359
chr9	106368398	106368598
chr9	106170525	106170725
chr9	106160033	106160233
chr9	104002061	104002261
chr9	103697110	103697310
chr9	103365932	103366132
chr9	103134598	103134798
chr9	103111681	103111881
chr9	103108521	103108721
chr9	102864258	102864458
chr9	102647123	102647323
chr9	10226022	10226222
chr9	102138895	102139095
chr9	101251827	101252027
chr9	101034534	101034734
chr9	100643034	100643234
chr8	9977836	9978036
chr8	99416456	99416656
chr8	9865261	9865461
chr8	9657028	9657228
chr8	9581855	9582055
chr8	95685136	95685336
chr8	95488849	95489049
chr8	95434381	95434581
chr8	95351630	95351830
chr8	95346794	95346994
chr8	94976598	94976798
chr8	94945354	94945554
chr8	94803568	94803768
chr8	94801839	94802039
chr8	94601869	94602069
chr8	94386239	94386439
chr8	94323020	94323220
chr8	94214367	94214567
chr8	94179047	94179247
chr8	94152606	94152806
chr8	93941165	93941365
chr8	93923832	93924032
chr8	90868351	90868551
chr8	88696945	88697145
chr8	88627794	88627994
chr8	88239395	88239595
chr8	88200341	88200541
chr8	87663122	87663322
chr8	87473358	87473558
chr8	86338962	86339162
chr8	85038036	85038236
chr8	84986130	84986330
chr8	84937299	84937499
chr8	84687046	84687246
chr8	84495017	84495217
chr8	84358056	84358256
chr8	84203649	84203849
chr8	84201363	84201563
chr8	84198338	84198538
chr8	84180547	84180747
chr8	83997096	83997296
chr8	83972864	83973064
chr8	83899644	83899844
chr8	83652359	83652559
chr8	83442425	83442625
chr8	83332384	83332584
chr8	82774114	82774314
chr8	80739527	80739727
chr8	80738478	80738678
chr8	79711149	79711349
chr8	79639523	79639723
chr8	79534387	79534587
chr8	79027875	79028075
chr8	78508445	78508645
chr8	77492432	77492632
chr8	77256576	77256776
chr8	75213075	75213275
chr8	73353469	73353669
chr8	72572266	72572466
chr8	72570706	72570906
chr8	71908761	71908961
chr8	71725484	71725684
chr8	71719954	71720154
chr8	71709884	71710084
chr8	71693400	71693600
chr8	71671673	71671873
chr8	71671156	71671356
chr8	71670408	71670608
chr8	71592413	71592613
chr8	71570724	71570924
chr8	71542649	71542849
chr8	71468915	71469115
chr8	71463560	71463760
chr8	71382205	71382405
chr8	71273198	71273398
chr8	71272598	71272798
chr8	70906461	70906661
chr8	70868621	70868821
chr8	70865591	70865791
chr8	70822162	70822362
chr8	70803917	70804117
chr8	70801285	70801485
chr8	70796936	70797136
chr8	70792368	70792568
chr8	70753249	70753449
chr8	70700649	70700849
chr8	70698773	70698973
chr8	70660003	70660203
chr8	70629652	70629852
chr8	70601282	70601482
chr8	70538189	70538389
chr8	70527632	70527832
chr8	70506377	70506577
chr8	70453883	70454083
chr8	70439283	70439483
chr8	70417049	70417249
chr8	70212594	70212794
chr8	70139249	70139449
chr8	70131523	70131723
chr8	69974326	69974526
chr8	69973608	69973808
chr8	69654743	69654943
chr8	69177872	69178072
chr8	69088532	69088732
chr8	66947447	66947647
chr8	66786012	66786212
chr8	66756247	66756447
chr8	64850152	64850352
chr8	64621817	64622017
chr8	61471353	61471553
chr8	60631751	60631951
chr8	57320819	57321019
chr8	55940311	55940511
chr8	54724298	54724498
chr8	54529963	54530163
chr8	54529437	54529637
chr8	53892438	53892638
chr8	48843446	48843646
chr8	47802439	47802639
chr8	47675264	47675464
chr8	47674808	47675008
chr8	47413561	47413761
chr8	47160738	47160938
chr8	4678532	4678732
chr8	46470897	46471097
chr8	46000126	46000326
chr8	45021853	45022053
chr8	44938294	44938494
chr8	44034275	44034475
chr8	4253641	4253841
chr8	4239135	4239335
